username,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favourite,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
pointbreakfan,1.38,-0.12,,,,0.88,,0.88,1.38,1.38,,0.38,,1.38,0.88,,1.88,0.88,0.88,-0.12,0.88,-0.62,1.38,,0.38,-0.62,,-0.12,0.88,1.38,0.38,1.38,,0.38,1.88,-0.12,1.38,1.38,1.38,1.38,-0.12,1.88,,1.38,1.38,1.38,-0.12,1.38,1.88,0.88,1.88,0.88,1.88,0.38,1.38,0.38,0.88,0.88,1.88,1.38,1.88,1.88,1.88,1.88,0.38
jakeperalta,-1.16,0.42,-0.11,,-0.63,,,-0.63,-0.63,-0.11,-0.63,-1.16,,-0.11,0.95,-0.63,-0.11,-1.16,-0.11,1.47,0.95,-0.63,-0.11,-0.11,-1.16,-1.68,2.0,-0.63,-0.63,-0.11,0.95,2.0,-0.63,-1.16,-0.63,-1.16,1.47,,-1.16,1.47,1.47,1.47,-0.63,0.95,-2.21,2.0,1.47,2.0,2.0,0.42,0.42,2.0,1.47,-0.11,0.95,-0.11,0.95,-0.11,0.95,0.95,,1.47,-0.11,2.0,-0.11
citizenhal,,,,,,0.06,,0.48,,0.9,,0.9,,,0.9,,0.06,-0.36,0.06,,-0.36,-2.04,-1.2,0.48,1.74,1.32,-0.78,-0.36,-0.36,,0.9,0.9,,1.32,-0.36,-0.36,,0.06,-0.78,,,,,-0.36,,0.48,0.06,,0.9,,1.74,0.9,1.32,,0.9,,,,0.06,,0.48,,,1.32,
rudimh,,1.11,,,,-0.72,,,1.57,0.65,,0.19,,,0.19,,,,,,,0.19,,,0.65,,1.57,,,0.65,,1.11,,,0.19,,1.11,-0.27,-2.56,0.19,0.65,1.11,,0.19,,1.57,,1.57,0.65,1.11,0.65,1.11,,,1.11,,,,,,,0.65,,0.65,
vontrapp,0.74,0.22,-0.3,-0.3,0.22,0.22,-0.82,0.22,0.74,-0.3,-0.3,-0.3,0.22,0.74,0.22,-0.3,0.22,-1.34,0.22,0.22,,-1.86,-0.3,-1.34,-0.3,0.22,0.74,-1.34,0.22,-0.82,0.22,1.26,0.22,0.22,-0.3,-1.86,1.78,,-1.86,0.22,1.26,1.26,0.74,1.26,-0.82,1.78,1.26,,0.22,-0.3,1.26,2.3,0.22,,,0.22,,,,,1.78,,,,
austinburke,,,,,,,0.47,1.42,,1.89,,1.42,1.89,1.42,1.42,,1.42,0.47,0.94,0.94,1.42,0.0,0.94,0.94,1.42,0.94,1.42,1.42,0.47,1.42,1.42,1.89,1.89,1.42,1.42,1.42,1.89,1.42,0.94,1.89,0.94,1.42,,1.42,0.94,0.94,1.42,,1.42,1.42,1.89,,1.89,,1.89,,1.89,,,1.42,1.89,,,,
dahans,1.19,0.74,1.65,-0.63,1.19,0.28,,1.65,1.65,1.19,0.28,1.65,,1.19,1.65,,1.19,-0.17,0.28,1.65,0.74,-0.63,0.28,0.74,1.65,0.74,1.19,-0.17,-0.17,0.74,0.74,1.65,0.74,1.19,0.74,,,,-1.08,0.74,,1.19,,0.74,0.74,1.65,,1.65,,0.28,1.65,1.65,1.65,,1.19,,,,1.19,,1.65,,,,
cevangelista413,1.22,0.64,1.8,,1.22,-0.52,,1.8,1.22,0.64,0.06,0.64,0.06,1.22,0.64,,0.06,0.64,,1.22,1.22,,-0.52,0.06,0.64,1.22,1.22,,,-0.52,0.06,,0.64,1.22,1.22,,1.8,0.06,-2.27,,0.64,1.22,,1.8,,0.06,1.22,1.8,1.22,0.06,1.22,1.8,1.22,0.64,1.22,,1.22,0.64,-0.52,0.64,1.22,,0.64,1.22,-0.52
flynnryder,0.7,0.19,-0.31,-2.84,,0.7,,0.19,1.2,-0.31,0.19,-0.82,-0.82,-0.82,-0.31,,1.2,0.19,-0.31,-0.31,0.7,-0.82,0.19,-1.32,1.2,,-0.31,0.7,0.19,1.2,1.2,1.2,-0.31,-0.31,0.7,,-0.82,1.2,-2.33,0.7,,0.7,-0.82,-0.31,1.2,-0.31,1.2,0.19,-1.32,1.2,-0.31,,-0.31,1.2,1.2,0.19,-0.31,0.19,0.7,0.19,1.2,0.19,,-0.82,1.71
jakealdacoffey,1.3,1.3,1.75,-0.04,-0.04,1.3,-0.93,1.75,1.3,1.75,0.86,1.3,1.3,1.75,,1.3,1.3,,0.86,0.86,1.3,0.41,0.86,1.3,1.3,1.75,1.75,0.41,0.86,1.75,1.3,1.75,1.75,1.75,1.3,1.3,1.75,-0.93,0.86,1.3,1.3,1.3,0.41,1.75,,,,1.75,,,-0.48,,,,,,,-1.38,,0.41,,,,,0.86
adaydreaming,1.27,0.16,,-1.32,,,,,1.64,-0.21,,0.9,,1.64,,1.64,-1.32,1.27,1.64,1.27,0.16,-0.58,,,,,-0.95,,,1.27,,1.64,0.9,-0.95,-0.21,-1.69,-1.32,,-1.69,0.53,,1.27,0.9,1.64,,-1.69,1.64,,-1.69,,,,,,,,-0.58,-1.32,,,1.27,0.16,0.53,-0.21,
