username,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,total,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favorite-2019,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
marna,87,70,124,269,224,1099,264,174,4,859,3174,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
mayawacko,12,56,48,156,205,419,362,317,103,87,1765,3.0,Late 3.5,Missing,Missing,Missing,4.0,Missing,Missing,Late 2.5,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 1.0,4.0,Missing,Missing,2.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,4.0,4.0,5.0,4.0,Late 3.0,Late 3.0,Missing,Late 4.5,Missing,Missing,5.0,Late 3.5,Missing,4.5,Late 4.5,Missing,Late 5.0,5.0,Late 5.0,3.5,Late 4.0,3.0,Late 5.0,5.0,Late 5.0,4.5,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
anhonestmess,281,389,323,397,406,564,481,355,173,104,3473,4.0,3.5,Missing,Missing,1.5,3.0,Missing,3.0,4.5,4.0,Missing,1.5,Missing,4.5,3.0,Missing,3.5,3.0,Missing,Late 3.5,3.5,Missing,Missing,Missing,2.0,1.0,Missing,Missing,Missing,Missing,Missing,2.5,2.0,1.5,Missing,Late 0.5,Missing,3.5,Missing,3.0,Missing,Missing,Missing,1.0,0.5,3.0,3.0,2.0,Missing,2.0,2.5,3.0,4.5,Missing,4.5,Missing,2.5,1.0,Late 2.0,Missing,2.0,4.0,2.5,0.5,Missing
moviesarelife1,681,845,1010,1114,1348,1746,1827,1257,598,279,10705,Late 5.0,4.0,Late 4.0,3.5,Late 4.5,5.0,3.0,Late 5.0,Late 2.0,4.5,4.0,4.0,5.0,Late 3.5,Late 4.5,Late 3.5,4.5,4.0,Late 5.0,Late 3.5,Late 3.5,Late 3.0,Late 4.5,Late 4.5,Late 3.5,Late 2.5,Late 3.5,Late 4.0,Late 4.0,Late 4.5,Late 4.5,Late 4.5,Late 5.0,Late 4.0,Late 4.0,Late 4.5,Late 4.5,Late 4.5,Missing,Late 4.0,Missing,Missing,Late 5.0,Missing,Missing,Late 4.5,Late 5.0,Missing,Late 4.0,Missing,Late 4.5,Late 5.0,Late 4.5,Missing,Late 4.0,Missing,Missing,Missing,Late 4.0,Late 4.5,Late 4.5,Late 3.5,Late 3.0,Late 1.5,Missing
vonnysimarmata,12,49,51,167,120,310,288,389,111,184,1681,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,4.0,Late 4.0,Missing,Missing,Missing,5.0,Missing,5.0,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 3.5,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing
xfaxe,16,81,208,206,420,646,759,572,311,51,3270,4.5,4.0,Late 4.5,2.5,4.5,3.0,3.5,4.5,Late 4.5,4.0,4.0,Late 4.5,4.5,Late 4.5,Late 4.0,Late 3.5,Missing,4.0,Missing,3.0,Late 4.5,5.0,4.0,3.5,4.0,Late 3.5,Missing,Late 3.5,Late 4.0,Missing,Missing,Late 4.5,Late 3.5,Late 4.5,Late 4.5,Missing,Late 4.0,Missing,Late 3.0,Late 4.5,Missing,Missing,Missing,Late 4.5,Missing,Late 4.5,Late 4.5,Late 3.5,Late 4.0,Missing,Late 4.0,Late 4.5,Late 2.5,Missing,Late 4.5,Missing,Late 4.5,Late 4.5,Late 4.5,Late 4.0,Late 3.5,Late 4.5,Late 4.0,Late 3.5,Missing
nathanrabin,75,79,135,135,112,158,247,231,58,90,1320,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,5.0,Late 2.0,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing,Missing,Missing,Late 1.0,5.0,Missing,Late 3.5
jhuang98,13,25,109,273,360,568,824,902,496,278,3848,4.5,3.5,5.0,2.5,4.5,2.5,3.0,5.0,4.5,4.0,3.5,5.0,3.0,4.5,4.0,3.5,5.0,2.5,3.5,3.0,Late 5.0,2.5,2.5,3.5,4.0,2.5,3.0,3.5,3.5,3.5,3.5,5.0,3.5,4.0,4.5,3.5,Late 4.0,Late 3.0,Late 2.0,Late 4.0,Late 3.5,Missing,Late 3.5,Late 4.5,Late 4.5,3.5,4.0,Late 5.0,Missing,4.0,Missing,Missing,Missing,Late 3.0,5.0,Late 3.5,Late 4.0,4.5,5.0,Late 4.5,Late 5.0,Late 3.5,Late 4.5,Late 4.5,4.5
chriscabin,62,423,697,1467,899,2131,2305,2613,894,712,12203,Missing,Missing,4.0,Missing,Missing,1.5,Missing,Missing,Missing,4.5,2.0,Missing,Missing,5.0,Missing,Missing,Missing,4.0,Missing,Missing,4.0,1.0,Missing,Missing,Missing,4.5,Missing,1.5,3.5,Missing,Missing,Missing,Missing,Missing,Late 2.0,3.0,Missing,Missing,1.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
blakemower,44,179,175,316,284,374,388,292,184,2,2238,5.0,3.5,Late 4.0,Missing,4.0,1.5,Missing,3.5,5.0,4.5,3.5,Late 4.5,Missing,5.0,Late 4.0,Late 3.0,4.0,4.5,4.0,Missing,Missing,Missing,Missing,4.0,3.0,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 3.5,Late 2.5,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 3.5,Missing,Missing,Missing,Late 4.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 5.0,Missing,Late 5.0,Missing
keeganeatspie,24,66,61,145,144,260,212,307,119,150,1488,Missing,Missing,Missing,Missing,Missing,4.0,Missing,3.5,3.0,Missing,Missing,5.0,Missing,Late 4.5,4.0,Missing,5.0,4.0,Missing,4.0,3.5,4.0,4.0,Late 2.5,4.5,Missing,Missing,Missing,4.0,4.0,Missing,Missing,4.0,Missing,5.0,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Late 3.5,4.0,4.0,3.5,Missing,4.0,Missing,4.5,Late 4.0,Late 4.0,Missing,Late 4.5,Late 2.5,Late 3.5,3.5,5.0,5.0,Late 2.5,4.0,Late 3.5
ironwatcher,7,25,71,155,285,602,828,642,272,112,2999,4.0,4.0,Late 4.0,3.5,Missing,4.0,4.0,4.0,Late 4.5,5.0,3.5,4.5,4.0,Late 4.0,4.0,3.5,3.5,3.5,3.0,Late 4.0,3.5,4.0,4.0,Late 4.0,4.5,3.5,Late 4.0,3.5,Missing,Late 4.0,Late 4.0,Late 5.0,3.0,4.0,Late 3.5,Late 3.0,5.0,3.5,3.0,Late 4.0,Missing,Missing,Late 3.5,Late 4.0,Late 4.5,Late 4.0,Late 4.5,Late 4.5,Late 3.5,Late 4.0,Late 4.5,Late 3.5,Late 5.0,Missing,Missing,Missing,Late 4.0,Missing,Late 4.5,Missing,Late 5.0,Missing,Missing,Missing,Missing
millenniummambo,9,13,37,97,182,282,294,287,193,92,1486,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,4.0,3.5,Missing,4.0,3.5,Missing,Late 4.0,Missing,2.5,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing
gonegirls,40,51,130,306,452,517,366,264,79,44,2249,Missing,3.5,Missing,Late 2.5,Missing,3.5,Missing,4.5,Missing,Missing,Missing,4.5,Missing,Missing,4.0,Late 4.0,4.0,Missing,3.0,Missing,Missing,3.5,Missing,Missing,3.5,3.0,Late 4.0,Late 3.5,2.5,Missing,3.5,4.0,Late 3.5,3.0,Late 4.0,Late 2.5,3.5,2.5,3.0,4.0,4.0,Missing,Missing,Late 3.5,3.5,4.0,4.0,4.5,4.0,4.5,3.5,Late 5.0,4.5,Late 3.5,4.5,Late 3.5,Late 4.5,Late 2.5,Late 4.0,Late 4.0,Late 5.0,Late 4.5,Late 4.5,Late 4.0,Missing
amundsens,46,96,108,227,279,482,378,408,197,139,2360,2.5,4.5,Late 4.0,1.0,4.5,3.5,Missing,4.5,Late 4.5,4.5,2.5,3.5,3.0,Late 4.5,5.0,4.5,3.5,4.5,4.5,Missing,2.5,1.5,3.5,3.0,3.0,3.0,Late 4.5,5.0,3.5,2.0,Missing,Missing,4.5,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 3.0,Late 4.5,Late 3.0,Late 4.0,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 2.5,Missing,Late 5.0,Missing,Late 2.5,Missing,Late 5.0,Missing,Late 3.0,Late 5.0,Missing
maskull,44,213,198,778,702,1563,1273,1297,350,388,6806,5.0,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Late 4.0,Missing,Missing,Late 2.0,Missing,Missing,Missing,Missing,4.5,5.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Late 3.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,5.0,Missing,Late 3.0,Missing,4.5,Late 3.0,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 5.0,3.5,Missing,Missing,Missing,Late 5.0,Late 3.5,Late 4.0,Missing,Missing,Missing,Late 2.5,Missing,Late 2.0,Missing,5.0,Late 4.0,Missing,5.0,Missing
sehnzeleid,73,142,315,461,630,814,660,427,133,51,3706,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
nbfnicholas,247,305,375,593,594,639,535,453,142,251,4134,4.0,4.0,Late 5.0,2.0,Missing,3.0,2.5,4.0,4.0,4.5,3.5,4.0,3.5,5.0,5.0,3.5,4.0,3.0,4.0,3.0,Late 3.5,3.5,4.0,3.5,5.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,3.5,5.0,3.0,Late 3.0,Missing,Late 2.0,Missing,Late 5.0,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing
zoelovesfilm,10,53,86,257,283,520,658,477,183,131,2658,2.0,3.5,Late 2.0,Late 1.5,Late 2.0,4.5,Missing,2.5,3.5,3.0,2.5,3.5,Missing,4.5,3.5,Missing,Missing,2.0,Late 2.0,Late 4.0,Missing,Missing,Missing,Missing,Late 3.5,1.5,Missing,Missing,Missing,Missing,Missing,4.0,2.0,3.5,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 4.5,Missing,4.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
justacrowbro,28,52,46,206,293,329,352,297,240,84,1927,5.0,4.5,Late 4.5,Late 3.0,Late 4.0,4.5,Late 3.0,Late 4.5,Late 4.5,4.5,Missing,Missing,Missing,Late 3.5,4.0,Late 5.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.0,Late 4.5,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 4.0,Late 4.0,Late 4.0,Late 5.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,Missing,Late 4.5,Missing
dungeonskramz,0,1146,0,1275,0,1445,0,916,0,426,5208,Missing,Missing,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Missing,5.0,Missing,Missing,Missing,Missing,Late 2.0,Late 4.0,Late 2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
14ltobias,47,114,164,239,251,346,302,318,150,168,2099,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,Missing,4.5,3.0,Missing,Missing,Missing,3.5,Missing,5.0,3.0,Missing,4.0,Late 5.0,Missing,Late 3.0,Late 4.5,Missing,Missing,Late 5.0,Missing,Late 3.5,Missing,Missing,Late 4.0,Missing,Late 4.5,Late 2.5,Late 5.0,Late 4.0,Missing,Missing,Late 4.0,Missing,Late 5.0,Late 3.0,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing
exsanguinate,13,64,76,184,260,385,442,408,262,132,2226,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.5,Missing,Missing,Missing,Missing,0.5,Late 3.0,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing
jazaldo,26,200,277,580,743,1374,1254,856,210,83,5603,4.0,4.0,Late 4.0,Missing,Missing,Late 2.5,Missing,4.5,4.5,4.0,Late 2.5,3.5,Missing,4.0,4.5,Missing,3.5,3.5,3.0,Late 3.5,Late 3.0,2.5,Late 3.5,Missing,Missing,4.0,Late 2.5,3.5,3.5,4.0,3.5,5.0,4.0,3.0,2.5,Late 1.5,4.0,3.0,Late 1.0,2.0,4.0,Missing,4.5,Late 4.5,Late 3.0,Late 4.5,4.5,4.5,2.5,2.0,3.5,Late 4.5,4.5,Late 3.5,4.0,Late 3.0,Late 4.0,1.5,3.5,3.5,4.5,4.5,3.5,4.5,4.0
adrianmoviez,60,171,134,197,217,396,308,377,152,106,2118,4.0,4.5,Missing,Missing,Missing,Missing,Missing,Missing,4.5,3.0,Missing,5.0,3.0,Missing,Missing,3.0,4.5,5.0,4.0,3.0,5.0,2.0,4.0,4.5,5.0,Missing,Missing,Missing,Missing,4.0,0.5,5.0,3.5,Missing,5.0,Missing,Missing,Late 4.0,Late 5.0,Late 4.5,Missing,Missing,Missing,Late 4.5,Late 4.0,Missing,Late 5.0,Late 5.0,Missing,Late 3.5,Late 4.5,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 4.0,Missing,Missing
