username,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,total,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favourite,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
michelcvg,50,108,175,269,468,908,919,881,382,308,4468,Missing,2.0,Late 3.5,Late 0.5,Missing,3.0,Missing,Late 2.5,Missing,3.5,Late 1.0,2.5,Missing,Late 4.5,Late 0.5,Late 3.0,3.5,Late 2.5,3.0,2.5,Late 4.0,3.5,2.5,Missing,3.5,3.0,3.5,3.0,3.5,Late 2.0,3.0,5.0,3.0,4.0,3.5,Late 3.5,4.5,4.5,Missing,4.0,Late 3.0,Late 4.5,4.5,Late 4.0,Late 4.5,Late 4.0,Missing,4.5,Late 4.0,Late 4.0,4.0,Late 4.0,Late 4.5,Late 4.0,Late 4.5,Late 4.5,Late 3.0,Late 2.0,Late 2.5,Missing,Late 4.0,Late 4.5,Missing,Late 4.5,Missing
mikeyb98,305,542,739,1226,1662,1547,1724,1930,1035,272,10982,4.5,3.5,5.0,0.5,5.0,2.5,2.0,4.5,4.5,4.0,3.5,3.5,2.5,5.0,4.5,4.0,4.5,3.5,3.0,4.0,4.0,1.5,2.5,2.5,3.0,Missing,4.0,2.5,3.0,4.0,3.5,4.0,4.0,4.0,1.5,3.5,5.0,4.0,1.0,3.5,4.0,4.0,3.5,4.0,5.0,4.0,3.5,4.5,4.0,2.0,5.0,4.5,4.0,4.0,5.0,3.0,4.5,Missing,Missing,Missing,5.0,Late 4.0,Missing,Late 5.0,Missing
miaebaker,31,43,41,103,109,206,146,170,68,94,1011,4.5,Missing,Missing,Missing,Missing,Missing,Missing,4.0,4.5,4.5,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,5.0,Missing,3.0,Missing,Missing,Missing,4.5,Late 2.0,4.5,Missing,Late 4.5,Missing,Missing,Missing,Late 5.0,Late 4.5,Missing,Missing,Late 4.5,Missing,Late 5.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Late 3.5
hayal12,2,1,11,74,327,579,921,1124,513,150,3702,Missing,Late 3.5,Late 3.5,Missing,Missing,Missing,Late 3.5,4.0,Late 2.5,3.5,3.0,Missing,3.0,Late 4.0,Late 4.0,3.0,3.5,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,3.0,3.0,Late 2.0,Late 2.5,Missing,Late 2.5,4.0,Late 5.0,Late 4.0,3.5,2.5,Late 2.0,5.0,Missing,2.0,Missing,Late 3.5,4.0,Late 4.0,Late 4.0,Late 5.0,Late 4.0,Late 4.5,Late 4.0,5.0,Late 3.5,3.5,Late 4.0,Late 2.5,Late 3.5,Missing,Late 3.0,Late 4.0,Late 3.5,Late 4.5,Late 4.0,Late 4.0,Late 3.5,Late 5.0,Late 4.5,Missing
savage_,82,128,85,113,108,160,208,277,111,142,1414,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Late 5.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing,Missing,Missing,Missing
lmr,294,310,282,339,368,720,410,309,130,170,3332,5.0,3.0,Late 3.5,Late 2.5,4.0,2.5,Missing,3.5,4.5,4.0,4.0,5.0,Late 3.5,3.0,5.0,2.0,2.5,2.0,Late 3.5,Late 4.0,3.0,2.5,2.5,Missing,3.5,3.0,3.5,Missing,3.5,2.0,3.0,5.0,3.0,4.0,3.5,3.0,Late 3.5,Missing,2.0,4.5,Late 2.5,4.5,Late 4.0,Late 4.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing
rachels_reviews,62,125,146,413,496,894,567,564,144,299,3710,2.5,2.5,4.0,2.0,Missing,4.0,Missing,3.0,2.5,5.0,3.5,4.0,4.0,2.5,2.5,3.0,4.5,3.5,4.0,3.0,Missing,2.0,3.0,4.5,3.0,2.5,3.5,3.5,Missing,3.5,Missing,Missing,4.0,3.0,4.0,4.0,Missing,4.0,2.0,5.0,Missing,Missing,Missing,Late 3.5,2.5,3.5,4.0,Missing,4.0,2.5,4.5,4.0,3.0,Missing,4.0,4.5,Late 5.0,Missing,Late 3.0,Missing,Late 4.5,Late 2.0,Late 5.0,Missing,Missing
theorollason,0,92,0,209,0,427,0,569,0,333,1630,5.0,4.0,Late 4.0,Missing,4.0,Missing,Missing,4.0,3.0,3.0,Missing,4.0,Missing,Late 4.0,4.0,3.0,4.0,3.0,Missing,3.0,4.0,3.0,Missing,Missing,4.0,4.0,3.0,2.0,2.0,Missing,Late 4.0,5.0,3.0,3.0,2.0,Missing,5.0,3.0,Late 1.0,4.0,Late 3.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,Missing,4.0,Missing,Missing,Late 3.0,Missing,Missing,Late 5.0,Missing,Late 4.0,Late 5.0,Missing
ilaricciolina,2,9,27,90,236,521,341,156,2,106,1490,Late 4.0,4.0,Missing,Missing,Late 4.0,3.0,Missing,Late 3.0,Missing,Late 5.0,Missing,Missing,Missing,Late 5.0,Missing,Late 4.0,Late 4.0,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing
darrenfx,99,194,228,362,423,784,713,552,184,105,3644,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 3.5,Late 3.5,Late 3.5,4.0,Missing,Missing,Late 3.5,Missing,Missing,3.0,Late 3.0,Late 4.0,Missing,Missing,Missing,Late 4.0,Late 3.5,Late 3.5,4.5,Late 3.5,Late 4.0,4.0,Late 4.0,Late 4.0,Late 4.0,Missing,Late 4.0,Missing,Late 4.5,Late 3.5,Missing,Late 4.0,4.0,Late 2.0,Missing,Late 3.5,Missing
superbardibros,0,70,0,368,0,786,0,607,0,189,2020,5.0,3.0,Late 4.0,Missing,4.0,2.0,Missing,5.0,4.0,4.0,3.0,4.0,Missing,5.0,4.0,Missing,5.0,4.0,Missing,Late 3.0,4.0,3.0,4.0,Missing,5.0,4.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,Missing,3.0,Late 4.0,Missing,4.0,Missing,5.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 5.0,Late 4.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 5.0,Missing
nopersonality,102,153,244,348,555,482,325,328,119,100,2756,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 0.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing
victordurval,28,40,53,119,167,185,179,164,92,80,1107,4.0,4.0,Missing,1.0,3.0,4.0,2.5,4.0,Missing,4.0,3.5,3.5,4.0,Late 4.0,Late 3.0,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 3.0,Late 3.5,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 5.0,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 3.5,Late 3.5,Late 4.0,Missing,Late 3.5,Missing,Late 4.5,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 4.5,Late 3.5
simplecinema,102,174,201,266,371,351,280,244,175,145,2309,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Late 4.5,Missing,Missing,Missing,Late 2.0,Late 5.0,4.5,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,4.5,4.5,Missing,Missing,Missing,Late 0.5,Missing,4.0,4.0,4.0,2.5,Late 1.0,3.0,Missing,Missing,4.0,Missing,4.0,Missing,Late 3.5,Late 4.0,Late 3.5,4.0,Missing,Missing,Late 3.5,5.0,Late 4.0,4.5,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Late 5.0,Late 5.0,Missing,Late 4.0,Missing
cinemacollector,32,62,111,170,206,262,251,230,159,102,1585,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Late 4.5,4.0,Missing,5.0,Missing,4.5,4.0,Missing,4.5,3.0,Late 3.0,3.5,Late 3.5,1.5,Late 3.0,Late 4.0,4.5,Missing,3.5,2.5,4.0,Late 3.0,4.0,5.0,4.0,3.5,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,Missing,Missing,Missing,Late 4.5,Late 4.0,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 3.5,Late 3.0,Late 4.5,Late 4.5,Missing,Late 4.5,Missing
jfrankensteiner,16,72,119,264,358,560,511,387,147,63,2497,Missing,3.0,Missing,Missing,Missing,Missing,Missing,3.5,Missing,3.5,1.5,3.0,Missing,Missing,3.5,Missing,4.0,Missing,Missing,3.5,Missing,Missing,Missing,Missing,3.0,2.5,3.0,1.5,3.0,1.5,Missing,3.0,2.0,3.0,0.5,2.0,2.5,Missing,Late 1.0,2.0,2.5,3.5,3.0,Late 1.0,Late 2.5,Late 2.5,3.0,Missing,Missing,1.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
dedward,167,253,379,493,584,1025,803,495,173,131,4503,2.0,Late 3.5,Missing,Late 0.5,Missing,2.5,Missing,3.5,Missing,4.5,Missing,4.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,3.5,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing
danielzalez,58,136,172,255,352,457,431,435,285,94,2675,4.0,Missing,Missing,2.0,Missing,Missing,Missing,Missing,Late 3.0,2.5,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1.5,Missing,Missing,4.0,Missing,4.0,Missing,Missing,2.0,2.5,4.5,Missing,3.5,Missing,Missing,5.0,2.5,Missing,2.5,Late 2.5,4.0,Late 2.5,3.5,Missing,Missing,4.0,Missing,Missing,Late 3.0,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing
ilsuey,122,96,102,162,155,290,285,268,117,70,1667,4.5,Late 4.0,Late 4.0,2.0,Missing,3.0,Late 3.5,Late 5.0,Late 4.5,Late 4.5,Missing,Late 4.0,Late 3.5,Missing,Late 4.5,Missing,Missing,Late 4.0,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 4.0,Late 4.5,Missing,Missing,Missing,Late 3.5,Late 4.0,Missing,Missing,Late 4.0,Late 3.0,Missing,Missing,Late 3.5,Late 4.5,Missing,Late 4.0,Missing,Missing,Late 4.0,Late 4.0,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing
deanmfjones,62,254,531,1456,1806,2569,2290,1212,285,101,10566,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Missing,4.0,Missing,4.0,Missing,Missing,Missing,Missing,4.0,Missing,Missing,2.5,Missing,3.5,3.5,4.0,Missing,4.0,Missing,Missing,3.0,Missing,Missing,Missing,4.5,4.0,4.5,4.0,2.5,4.5,Missing,3.5,4.5,4.0,3.0,Missing,4.5,Missing,4.5,4.0,4.0,3.0,Missing,4.5,4.0,5.0,3.0,4.0,4.5,5.0,4.0,4.0,2.0,Late 2.0,3.5,4.0,2.5,3.5
mogwai_synth,2,5,2,38,88,336,404,489,114,120,1598,4.0,3.5,Late 4.5,Late 1.0,3.5,4.0,4.0,4.0,Late 5.0,4.5,4.0,5.0,4.0,4.0,4.5,Late 4.0,3.5,3.5,Late 3.0,4.5,Late 4.0,3.5,Late 3.5,Missing,4.0,4.0,4.5,Late 4.0,4.0,Late 4.0,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
petricor,14,118,226,741,1093,1077,752,471,175,77,4744,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.5,Late 5.0,Missing,2.0,3.0,Missing,Missing,5.0,Missing,Missing,Missing,Missing,4.0,Missing,2.0,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Late 4.0,Late 3.5,3.0,Late 1.5,Missing,Late 1.5,Missing,2.5,Missing,Missing,Late 3.5,2.5,Late 2.0,Late 1.0,Late 3.5,Late 4.0,Late 4.0,Late 1.5,1.5,Late 3.5,3.0,Late 4.0,Late 1.0,Late 4.0,Late 1.5,Late 4.0,Late 4.0,Late 5.0,Late 1.5,Missing,Late 5.0,Missing,Missing,Late 4.0,Missing
ptapat,18,79,112,387,419,789,723,743,191,204,3665,4.0,4.0,3.5,Late 1.0,Missing,2.0,Missing,2.5,Late 3.5,3.5,3.0,4.0,Late 3.0,3.0,3.5,3.5,3.5,4.0,3.5,4.0,3.0,2.0,2.5,3.0,2.5,2.0,3.0,2.0,3.5,4.0,3.0,5.0,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
keeganwalker15,36,69,123,257,335,555,634,350,201,66,2626,4.5,Missing,Late 4.5,2.0,Late 4.0,2.0,3.0,5.0,Late 4.0,3.5,3.5,Missing,2.5,Late 3.0,4.0,2.5,4.5,Missing,Late 3.5,3.0,Late 3.5,3.5,Late 3.5,Late 2.5,4.5,Missing,Late 2.5,2.5,Missing,Late 3.0,4.5,Late 4.5,4.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Late 4.5,Missing,Missing,Missing,Late 4.5,Late 4.0,Missing,Late 4.5,Missing
cyman,9,72,117,376,782,1275,1318,946,189,25,5109,Late 4.5,Late 4.0,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Late 3.5,3.5,4.0,4.0,Late 3.0,Late 4.0,Missing,3.5,4.0,Missing,Missing,Missing,3.5,Missing,Missing,4.5,2.5,Late 4.5,Missing,3.5,Late 4.0,Late 4.0,4.0,Late 4.0,4.5,Late 3.5,Missing,3.5,3.0,Late 4.0,Late 4.0,Missing,4.0,Missing,4.0,4.0,Late 4.5,4.0,3.0,3.0,Late 4.0,4.5,Late 4.0,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 4.5,4.0,4.0,Late 4.0,4.0,4.0,Missing
mitchxsns,156,558,790,639,650,1328,1352,686,205,72,6436,2.0,4.0,Late 2.0,1.0,3.0,2.0,2.5,5.0,Late 2.5,4.0,Late 3.0,Late 1.5,Late 3.5,Late 3.5,Late 4.5,Late 3.0,Late 3.0,Late 3.5,Late 3.0,Late 4.0,Late 2.0,Late 3.5,Late 3.5,Late 3.5,Late 4.0,Late 2.0,Late 2.0,Late 3.0,Late 3.5,Late 1.5,Late 3.5,Late 5.0,Late 4.5,Late 4.5,Late 4.0,Late 4.0,Late 3.0,Late 4.0,Late 3.5,Late 3.5,Missing,Late 4.5,Late 4.0,Late 3.0,Late 1.5,Late 4.0,Late 5.0,Late 3.5,Late 2.0,Late 4.5,Late 5.0,Late 4.5,Late 5.0,Late 3.5,Late 4.0,Late 3.5,Late 3.0,Late 4.5,Late 4.0,Late 4.0,Late 4.0,Late 4.0,Late 4.5,Late 3.5,Late 3.5
sergioalpendre,21,251,400,2455,1849,3692,2326,2237,847,564,14642,3.0,3.0,Late 2.0,Late 2.0,Late 2.0,2.5,Missing,1.0,Late 1.0,2.5,3.0,1.0,2.0,3.0,Late 2.0,3.0,2.0,2.5,3.0,3.0,3.0,2.5,Late 2.0,Missing,2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
mrpeepers,6,29,85,379,724,1297,916,510,165,46,4157,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
dustin_b,124,418,746,1712,2182,3641,2813,1894,434,133,14097,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,5.0,Missing,Late 4.5,4.0,Missing,Late 3.5,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Late 4.0,4.0,Missing,4.0,Missing,Missing,Late 4.0,4.0,Late 3.0,Late 4.0,2.5,Late 4.0,Late 2.5,Late 3.5,Late 3.5,4.5,Late 3.0,Late 3.5,4.5,Late 3.0
gubarenko,92,316,423,896,1248,2338,2253,2137,841,506,11050,4.0,4.5,Missing,5.0,4.5,Late 5.0,3.0,5.0,5.0,5.0,Late 4.0,4.5,4.5,Late 5.0,4.5,Missing,4.0,4.5,5.0,4.0,5.0,3.0,4.0,4.5,3.5,4.5,5.0,5.0,4.0,4.0,4.0,5.0,4.5,4.5,Missing,Late 4.0,3.0,3.5,Late 3.0,Late 3.0,Missing,Late 5.0,Late 4.0,3.0,5.0,5.0,4.5,5.0,5.0,4.0,4.5,Late 4.5,5.0,4.0,5.0,Late 4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.5
karekano,36,94,107,200,290,393,482,349,158,87,2196,4.5,Missing,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Late 3.5,Missing,2.0,Missing,3.5,Late 3.0,Late 3.5,1.0,Late 3.0,Late 2.0,2.0,Missing,Missing,Missing,3.5,Late 0.5,4.0,Late 5.0,4.0,5.0,Missing,Missing,Missing,Late 2.0,Missing,Late 3.5,Missing,Late 5.0,Late 2.5,Late 3.5,Missing,Late 5.0,Missing,Late 5.0,Missing,Late 2.5,Missing,Late 5.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 5.0,Missing,Late 5.0,Late 3.5
brettandjb,24,57,136,229,368,536,593,599,302,115,2959,Missing,4.0,Late 3.5,Missing,Missing,3.5,Missing,4.5,4.5,3.5,2.5,4.5,Missing,4.0,4.0,Missing,5.0,3.0,Missing,Late 3.5,Late 3.0,3.0,Missing,Late 1.5,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,5.0,4.5,3.0,3.5,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,Late 4.0,Late 2.0,Missing,Late 4.5,Late 3.5,Missing,Missing,Late 4.0,Late 5.0,Late 4.5,Missing,Missing,Missing,Late 2.5,Late 2.5,Missing,Missing,Late 5.0,Late 4.0,Missing,Late 5.0,Late 1.5
frankenlotter,75,262,390,869,1520,2404,2412,2548,969,1111,12560,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,4.5,Missing,5.0,4.5,Late 5.0,Late 4.5,Missing,5.0,4.5,4.0,5.0,Late 5.0,4.0,4.0,4.0,5.0,4.5,Late 4.5,4.0,3.5,Late 4.0,4.0,Late 5.0,5.0,5.0,Late 4.5,Late 3.5,Late 5.0,4.0,Late 3.5,Missing,Late 3.5,Late 5.0,Late 4.0,Late 5.0,Late 4.5,Late 4.0,4.5,Late 4.0,Late 5.0,Late 3.5,Late 5.0,Late 5.0,Late 4.5,Late 4.0,Late 5.0,Missing,Late 4.5,4.0,Late 5.0,Late 4.5,5.0,Late 5.0,Late 5.0,5.0,Late 4.5
uusss15,6,24,44,104,131,285,343,324,154,91,1506,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Late 4.0,Missing,Late 3.5,Missing,Missing,Late 4.0,Missing,Late 4.5,3.5,Late 3.0,3.5,Missing,Late 4.0,4.0,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 4.0,Late 4.0,Late 3.0,Late 4.0,Late 4.5,Missing,Late 4.0,Late 4.0,Missing,Missing,Late 3.0,Missing,Late 4.0,Missing,Late 4.0,Late 4.0,Late 5.0,Late 3.5,Late 4.0,Late 3.5,Missing,Late 4.5,Late 4.5,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 4.0,Late 4.0
ajblack,36,67,115,305,429,747,635,419,138,82,2973,Missing,Late 3.5,Missing,Missing,Missing,3.0,Missing,5.0,Late 3.0,Missing,4.0,3.0,4.0,Late 4.0,4.0,Missing,4.0,4.0,Late 3.5,4.0,Late 4.0,3.5,Late 3.5,Missing,5.0,3.5,Late 4.0,3.5,3.5,Late 5.0,Late 4.0,4.5,4.5,4.0,3.0,Late 3.0,3.5,4.0,Late 2.5,Missing,Late 3.5,Late 4.0,Missing,Missing,Late 4.0,Late 4.0,5.0,Missing,5.0,Late 3.5,Late 3.5,Late 4.5,4.5,Late 4.0,4.5,Missing,Late 4.5,Late 3.5,Late 4.0,4.0,4.5,4.5,Missing,5.0,Late 4.0
vaiouu,23,36,59,175,260,412,423,369,86,43,1886,5.0,Missing,Missing,4.5,Missing,4.0,Missing,5.0,Late 4.0,Late 3.5,3.5,Late 4.0,Late 3.5,Late 4.0,Late 3.5,Late 2.5,Late 4.0,Late 3.5,Missing,Missing,Late 4.0,3.5,Missing,Late 3.0,4.0,Late 3.0,Missing,Missing,Late 3.5,Late 3.5,Late 5.0,Late 4.5,Late 4.0,Late 4.0,Late 4.0,Late 4.0,Missing,4.0,Late 4.0,Missing,Missing,Late 4.0,Missing,Late 4.5,Missing,Late 3.5,Late 4.0,Late 2.5,Late 3.5,Late 3.5,Late 4.0,Late 3.5,Late 5.0,Missing,Late 3.5,Late 3.5,Missing,Late 3.0,Late 4.0,Late 4.0,Late 4.0,Late 3.0,Missing,Late 3.5,Late 3.5
matthewlb,241,446,343,550,613,570,743,656,313,163,4638,4.5,3.5,Late 4.5,2.5,Late 3.5,3.5,Late 3.0,4.5,4.5,4.0,4.0,4.5,Late 3.5,Late 3.5,4.5,3.0,4.0,3.5,3.5,4.0,Late 2.5,2.5,2.5,Late 3.0,4.0,4.5,3.0,Late 3.0,Late 3.5,3.5,Late 3.5,4.5,Late 3.5,4.5,3.5,Late 2.0,4.5,3.5,Late 2.5,4.0,3.5,5.0,Missing,Late 4.0,5.0,Late 3.5,4.0,4.5,Missing,Late 3.5,4.5,4.5,4.5,Late 3.0,Missing,Late 2.5,4.5,Late 3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.5
hudsonrocks,1,35,41,154,210,561,1048,857,297,292,3496,Late 3.5,Late 4.5,Missing,Missing,Missing,Missing,Missing,4.5,Missing,5.0,Missing,Missing,Late 2.0,4.0,2.0,Missing,5.0,3.0,Missing,Late 4.5,Late 2.0,Missing,Missing,Missing,2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Missing,3.5,3.5,Missing,3.5,Missing,Missing,Missing,Late 3.0,Late 1.0,Late 4.5,Late 3.5,Late 3.0,4.5,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing
willas,43,146,202,441,539,396,215,96,21,18,2117,3.0,2.5,Late 3.0,2.0,3.0,2.5,2.0,3.0,3.5,3.0,2.0,1.0,Late 2.5,3.5,2.5,2.0,2.5,2.5,2.5,3.5,3.0,2.0,2.5,2.0,1.5,2.0,3.5,2.5,Late 2.5,3.0,3.0,3.5,2.5,2.5,2.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,3.5,3.0,1.5,4.5,3.5,4.5,2.0,2.5,3.0,Missing,3.5,3.5,4.0,1.5,3.5,1.5,Late 3.5,Late 2.0,3.0,Late 5.0,Late 2.5,Late 3.5,3.0
